start_date,model,sql_dialect,type,metric,value_simple,value_moderate,value_challenging,value_total
2026-05-07 13:58:44,Mistral-7B-Instruct-v0.3,SQLite,Dyn-examples & rerank-examples,R-VES,26.5,8.12,3.42,12.6
2026-05-07 13:58:46,Mistral-7B-Instruct-v0.3,SQLite,Dyn-examples & rerank-examples,Soft-F1,28.78,10.47,6.26,15.03
2026-05-07 14:03:15,gpt-oss-120b,SQLite,Baseline,EX,47.3,21.6,18.63,28.6
2026-05-07 14:06:00,gpt-oss-120b,SQLite,Baseline,R-VES,46.19,20.31,18.35,27.57
2026-05-07 14:06:32,gpt-oss-120b,SQLite,Baseline,Soft-F1,51.46,25.58,23.92,32.9
2026-05-07 14:11:46,gpt-oss-20b,SQLite,Dyn-examples & rerank-examples,EX,50.68,20.8,21.57,29.8
2026-05-07 14:14:56,gpt-oss-20b,SQLite,Dyn-examples & rerank-examples,R-VES,49.49,19.88,20.65,28.8
2026-05-07 14:15:28,gpt-oss-20b,SQLite,Dyn-examples & rerank-examples,Soft-F1,53.27,24.64,22.9,32.76
2026-05-07 14:16:00,gpt-oss-120b,SQLite,Dyn-examples & rerank-examples,EX,47.97,20.8,23.53,29.4
2026-05-07 14:19:40,gpt-oss-120b,SQLite,Dyn-examples & rerank-examples,R-VES,46.69,19.99,22.59,28.43
2026-05-07 14:20:13,gpt-oss-120b,SQLite,Dyn-examples & rerank-examples,Soft-F1,51.78,25.7,26.49,33.58
2026-05-07 14:25:02,gpt-oss-20b,SQLite,Baseline,EX,45.27,22.0,17.65,28.0
2026-05-07 14:27:28,gpt-oss-20b,SQLite,Baseline,R-VES,44.52,20.5,16.71,26.84
2026-05-07 14:28:00,gpt-oss-20b,SQLite,Baseline,Soft-F1,49.01,25.26,21.26,31.47
2026-05-07 14:34:27,gemma-3n-e4b-it,SQLite,Baseline,EX,31.76,10.4,9.8,16.6
2026-05-07 14:35:30,gemma-3n-e4b-it,SQLite,Baseline,R-VES,31.2,10.18,10.04,16.37
2026-05-07 14:35:33,gemma-3n-e4b-it,SQLite,Baseline,Soft-F1,35.28,12.53,10.11,18.77
2026-05-07 14:35:37,gemma-3n-e4b-it,SQLite,Dyn-examples & rerank-examples,EX,28.38,8.8,7.84,14.4
2026-05-07 14:36:39,gemma-3n-e4b-it,SQLite,Dyn-examples & rerank-examples,R-VES,27.2,8.58,8.07,13.99
2026-05-07 14:36:43,gemma-3n-e4b-it,SQLite,Dyn-examples & rerank-examples,Soft-F1,29.95,10.1,7.11,15.36
2026-05-08 20:38:04,nemotron-3-super-120b-a12b,SQLite,Dyn-examples & dyn-values,EX,52.03,30.8,26.47,36.2
2026-05-08 20:41:43,nemotron-3-super-120b-a12b,SQLite,Dyn-examples & dyn-values,R-VES,50.29,29.05,24.44,34.39
2026-05-08 20:42:15,nemotron-3-super-120b-a12b,SQLite,Dyn-examples & dyn-values,Soft-F1,57.08,34.81,31.92,40.81
2026-05-08 20:42:27,nemotron-3-nano-30b-a3b,SQLite,Dyn-examples & dyn-values,EX,63.51,45.2,33.33,48.2
2026-05-08 20:46:33,nemotron-3-nano-30b-a3b,SQLite,Dyn-examples & dyn-values,R-VES,62.2,43.16,31.8,46.48
2026-05-08 20:46:44,nemotron-3-nano-30b-a3b,SQLite,Dyn-examples & dyn-values,Soft-F1,65.76,51.29,38.88,53.04
2026-05-08 20:47:17,nemotron-3-super-120b-a12b,SQLite,Dyn-examples & rerank-examples & dyn-values,EX,54.73,31.2,25.49,37.0
2026-05-08 20:51:25,nemotron-3-super-120b-a12b,SQLite,Dyn-examples & rerank-examples & dyn-values,R-VES,53.26,29.33,24.04,35.33
2026-05-08 20:51:57,nemotron-3-super-120b-a12b,SQLite,Dyn-examples & rerank-examples & dyn-values,Soft-F1,57.07,34.81,32.79,40.99
2026-05-08 20:52:29,nemotron-3-nano-30b-a3b,SQLite,Dyn-examples & rerank-examples & dyn-values,EX,70.95,49.6,36.27,53.2
2026-05-08 20:56:59,nemotron-3-nano-30b-a3b,SQLite,Dyn-examples & rerank-examples & dyn-values,R-VES,68.32,46.95,34.78,50.79
2026-05-08 20:57:31,nemotron-3-nano-30b-a3b,SQLite,Dyn-examples & rerank-examples & dyn-values,Soft-F1,74.3,55.46,44.08,58.71
2026-05-08 20:57:56,Mistral-7B-Instruct-v0.3,SQLite,Dyn-examples & rerank-examples & dyn-values,EX,30.41,8.4,1.96,13.6
2026-05-08 20:58:50,Mistral-7B-Instruct-v0.3,SQLite,Dyn-examples & rerank-examples & dyn-values,R-VES,29.19,8.17,2.08,13.15
2026-05-08 20:59:13,Mistral-7B-Instruct-v0.3,SQLite,Dyn-examples & rerank-examples & dyn-values,Soft-F1,31.03,10.47,4.3,15.3
2026-05-08 20:59:44,mistral-medium-3.5-128b,SQLite,Dyn-examples & rerank-examples & dyn-values,EX,49.32,32.4,22.55,35.4
2026-05-08 21:01:46,mistral-medium-3.5-128b,SQLite,Dyn-examples & rerank-examples & dyn-values,R-VES,48.48,30.72,21.3,34.05
2026-05-08 21:02:16,mistral-medium-3.5-128b,SQLite,Dyn-examples & rerank-examples & dyn-values,Soft-F1,52.1,37.79,28.24,40.08
2026-05-08 21:02:47,Mistral-7B-Instruct-v0.3,SQLite,Dyn-examples & dyn-values,EX,20.27,7.6,2.94,10.4
2026-05-08 21:04:50,Mistral-7B-Instruct-v0.3,SQLite,Dyn-examples & dyn-values,R-VES,20.07,7.49,2.08,10.11
2026-05-08 21:05:20,Mistral-7B-Instruct-v0.3,SQLite,Dyn-examples & dyn-values,Soft-F1,22.5,9.39,4.49,12.27
2026-05-08 21:05:51,mistral-medium-3.5-128b,SQLite,Dyn-examples & dyn-values,EX,48.65,33.6,21.57,35.6
2026-05-08 21:08:01,mistral-medium-3.5-128b,SQLite,Dyn-examples & dyn-values,R-VES,47.87,32.59,20.74,34.7
2026-05-08 21:08:31,mistral-medium-3.5-128b,SQLite,Dyn-examples & dyn-values,Soft-F1,53.35,37.72,25.66,39.89
2026-05-08 21:09:02,gpt-oss-20b,SQLite,Dyn-examples & dyn-values,EX,48.65,32.4,22.55,35.2
2026-05-08 21:14:41,gpt-oss-20b,SQLite,Dyn-examples & dyn-values,R-VES,47.09,30.82,21.52,33.74
2026-05-08 21:15:12,gpt-oss-20b,SQLite,Dyn-examples & dyn-values,Soft-F1,52.97,37.35,28.96,40.26
2026-05-08 21:15:45,gpt-oss-120b,SQLite,Dyn-examples & rerank-examples & dyn-values,EX,51.35,33.2,28.43,37.6
2026-05-08 21:18:59,gpt-oss-120b,SQLite,Dyn-examples & rerank-examples & dyn-values,R-VES,50.06,30.98,27.47,35.91
2026-05-08 21:19:31,gpt-oss-120b,SQLite,Dyn-examples & rerank-examples & dyn-values,Soft-F1,56.1,38.7,31.42,42.36
2026-05-08 21:20:04,gpt-oss-120b,SQLite,Dyn-examples & dyn-values,EX,50.0,31.6,25.49,35.8
2026-05-08 21:23:36,gpt-oss-120b,SQLite,Dyn-examples & dyn-values,R-VES,48.69,30.21,24.42,34.5
2026-05-08 21:24:09,gpt-oss-120b,SQLite,Dyn-examples & dyn-values,Soft-F1,54.93,36.71,31.37,41.01
2026-05-08 21:24:40,gpt-oss-20b,SQLite,Dyn-examples & rerank-examples & dyn-values,EX,54.05,31.6,28.43,37.6
2026-05-08 21:27:03,gpt-oss-20b,SQLite,Dyn-examples & rerank-examples & dyn-values,R-VES,52.3,30.04,26.98,36.0
2026-05-08 21:27:34,gpt-oss-20b,SQLite,Dyn-examples & rerank-examples & dyn-values,Soft-F1,57.09,36.17,33.76,41.87
2026-05-08 21:27:37,gemma-3n-e4b-it,SQLite,Dyn-examples & dyn-values,EX,33.78,11.6,8.82,17.6
2026-05-08 21:28:40,gemma-3n-e4b-it,SQLite,Dyn-examples & dyn-values,R-VES,32.49,11.27,8.92,17.07
2026-05-08 21:28:43,gemma-3n-e4b-it,SQLite,Dyn-examples & dyn-values,Soft-F1,37.28,13.73,9.13,19.76
2026-05-08 21:29:14,gemma-3n-e4b-it,SQLite,Dyn-examples & rerank-examples & dyn-values,EX,29.05,9.6,7.84,15.0
2026-05-08 21:31:22,gemma-3n-e4b-it,SQLite,Dyn-examples & rerank-examples & dyn-values,R-VES,27.63,9.32,8.07,14.48
2026-05-08 21:31:54,gemma-3n-e4b-it,SQLite,Dyn-examples & rerank-examples & dyn-values,Soft-F1,30.98,11.56,7.11,16.4
